City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Tazovskiy,67.4667,78.7,30.18,92,23,4.59,RU,2021-10-15 19:58:42
118,Saint George,37.1041,-113.5841,68.47,23,0,1.99,US,2021-10-15 19:58:33
119,Pokhara,28.2333,83.9833,69.93,37,2,8.25,NP,2021-10-15 19:55:18
120,Ilo,-17.6394,-71.3375,63.46,72,0,11.5,PE,2021-10-15 19:58:42
121,Saint-Augustin,51.226,-58.6502,47.71,84,100,15.08,CA,2021-10-15 19:58:43
122,Kudat,6.8837,116.8477,77.29,94,20,0.0,MY,2021-10-15 19:58:43
123,Khirkiya,22.1674,76.8605,70.47,62,13,2.57,IN,2021-10-15 19:58:43
124,Sao Filipe,14.8961,-24.4956,79.0,75,57,12.75,CV,2021-10-15 19:58:43
125,Saldanha,-33.0117,17.9442,55.45,73,19,16.73,ZA,2021-10-15 19:58:44
126,Isla Vista,34.4133,-119.861,86.22,20,0,3.0,US,2021-10-15 19:58:45
127,Teahupoo,-17.8333,-149.2667,76.96,76,28,16.33,PF,2021-10-15 19:58:45
128,Manokwari,-0.8667,134.0833,79.56,80,100,2.06,ID,2021-10-15 19:58:45
129,Huron,41.1501,-82.5499,79.07,72,100,16.44,US,2021-10-15 19:58:45
130,Cape Town,-33.9258,18.4232,56.26,83,75,1.99,ZA,2021-10-15 19:58:07
131,Kapit,2.0167,112.9333,75.02,99,100,0.98,MY,2021-10-15 19:58:46
132,Zhangye,38.9342,100.4517,43.56,37,22,2.77,CN,2021-10-15 19:58:46
133,Flinders,-34.5833,150.8552,58.17,64,99,8.99,AU,2021-10-15 19:58:46
134,Bundaberg,-24.85,152.35,64.69,52,0,8.05,AU,2021-10-15 19:58:47
135,Vaini,-21.2,-175.2,73.56,100,75,3.44,TO,2021-10-15 19:58:47
136,Jucas,-6.5253,-39.5275,96.71,20,10,9.42,BR,2021-10-15 19:58:47
137,Evensk,61.95,159.2333,16.3,62,11,20.42,RU,2021-10-15 19:58:48
138,Ampanihy,-24.7,44.75,76.82,30,18,6.04,MG,2021-10-15 19:58:48
139,Mezen,65.8522,44.24,34.39,94,14,4.32,RU,2021-10-15 19:58:48
140,Ahipara,-35.1667,173.1667,55.09,63,0,4.59,NZ,2021-10-15 19:58:49
141,Hualmay,-11.0964,-77.6139,67.14,76,40,10.69,PE,2021-10-15 19:58:49
