,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
217,Richards Bay,-28.783,32.0377,57.97,69,2,5.86,ZA,clear sky
218,Zonguldak,41.25,31.8333,48.58,97,82,1.5,TR,broken clouds
219,Kirkuk,35.4681,44.3922,71.89,43,6,4.88,IQ,clear sky
220,New Norfolk,-42.7826,147.0587,47.7,77,99,4.0,AU,overcast clouds
221,Da Nang,16.0678,108.2208,76.98,88,75,1.14,VN,broken clouds
222,Nanticoke,41.2054,-76.0049,57.25,65,94,1.99,US,overcast clouds
223,Bhiwani,28.7833,76.1333,70.38,85,0,1.97,IN,clear sky
224,Statesboro,32.4488,-81.7832,75.34,25,1,3.44,US,clear sky
225,Owando,-0.4819,15.8999,75.99,81,90,3.27,CG,light rain
226,Sao Paulo De Olivenca,-3.3783,-68.8725,87.39,60,96,1.23,BR,overcast clouds
227,Guarapari,-20.6667,-40.4975,75.09,93,100,5.46,BR,light rain
228,Codrington,-38.2667,141.9667,47.37,87,31,7.07,AU,scattered clouds
229,Gold Coast,-28.0,153.4333,59.38,96,75,4.61,AU,broken clouds
230,Katete,-0.7818,29.7544,63.75,98,100,0.43,UG,light rain
231,Douentza,14.9951,-2.9517,93.51,24,100,11.97,ML,overcast clouds
232,Qaqortoq,60.7167,-46.0333,32.29,38,2,7.38,GL,clear sky
233,Kondagaon,19.6,81.6667,71.28,97,92,4.36,IN,light rain
234,Mackay,-21.15,149.2,71.04,94,90,2.3,AU,overcast clouds
235,Kruisfontein,-34.0033,24.7314,50.88,66,0,4.34,ZA,clear sky
236,Te Anau,-45.4167,167.7167,49.17,87,100,4.68,NZ,moderate rain
237,Berlevag,70.8578,29.0864,33.8,63,100,26.11,NO,light rain
238,Sterling,39.0062,-77.4286,70.48,43,1,1.01,US,clear sky
239,Verkhoyansk,67.5447,133.385,0.16,97,100,2.1,RU,overcast clouds
240,Aklavik,68.2191,-135.0107,22.03,80,100,4.23,CA,overcast clouds
241,Ibra,22.6906,58.5334,80.11,33,0,4.05,OM,clear sky
242,Saysain,14.5611,120.3925,79.16,84,24,6.93,PH,few clouds
243,Saint-Joseph,-21.3667,55.6167,71.96,77,19,11.83,RE,few clouds
244,Beyneu,45.3167,55.2,56.53,33,100,10.11,KZ,overcast clouds
245,Mokhsogollokh,61.4681,128.9203,18.61,95,100,3.74,RU,light snow
246,Bahia Blanca,-38.7196,-62.2724,76.73,18,5,8.72,AR,clear sky
247,Manicore,-5.8092,-61.3003,85.42,59,100,1.41,BR,overcast clouds
248,Dharampur,20.5333,73.1833,72.32,79,10,5.75,IN,clear sky
249,Nurota,40.5614,65.6886,50.09,25,6,4.23,UZ,clear sky
250,Zheleznodorozhnyy,55.7503,38.0042,38.75,70,73,9.35,RU,broken clouds
251,Seondha,26.1578,78.7797,72.59,93,80,9.46,IN,light rain
252,Sisimiut,66.9395,-53.6735,28.83,45,2,14.2,GL,clear sky
253,Tual,-5.6667,132.75,83.44,78,65,14.67,ID,broken clouds
254,Adeje,28.1227,-16.726,81.91,50,0,9.22,ES,clear sky
255,Constitucion,-35.3333,-72.4167,66.04,54,7,15.77,CL,clear sky
256,Kenai,60.5544,-151.2583,41.14,68,20,14.97,US,few clouds
257,Tizimin,21.15,-88.15,93.69,37,100,4.03,MX,overcast clouds
258,Port Hawkesbury,45.6169,-61.3485,61.92,78,1,5.01,CA,clear sky
259,Broome,42.2506,-75.833,49.55,69,90,5.99,US,overcast clouds
260,Monrovia,6.3005,-10.7969,82.17,81,6,10.11,LR,clear sky
261,Vera Cruz,-12.6333,-41.0333,92.48,22,100,7.7,BR,overcast clouds
262,Vao,-22.6667,167.4833,71.69,92,100,25.81,NC,light rain
263,Eureka,40.8021,-124.1637,56.68,88,28,3.0,US,scattered clouds
264,Ixtapa,20.7,-105.2,87.22,77,7,5.99,MX,clear sky
265,Ler,8.3018,30.1418,77.88,72,16,4.34,SS,few clouds
266,Hobyo,5.3505,48.5268,78.84,83,63,17.72,SO,broken clouds
267,Kiruna,67.8557,20.2251,27.52,80,75,5.75,SE,broken clouds
268,Lincoln,40.8,-96.667,77.0,28,1,5.99,US,clear sky
269,Thayetmyo,19.3167,95.1833,74.17,97,100,2.71,MM,overcast clouds
270,Ngorongoro,-3.2397,35.4875,58.28,71,76,3.13,TZ,broken clouds
271,Baruun-Urt,46.6806,113.2792,26.58,57,0,7.0,MN,clear sky
272,Dublin,37.7021,-121.9358,60.85,66,75,7.0,US,broken clouds
273,Victor Harbor,-35.5667,138.6167,53.01,87,8,8.5,AU,clear sky
274,Fairbanks,64.8378,-147.7164,30.81,81,75,0.0,US,smoke
275,Khash,28.2211,61.2158,63.3,9,0,2.13,IR,clear sky
276,Manzhouli,49.6,117.4333,25.05,79,4,6.91,CN,clear sky
277,Butaritari,3.0707,172.7902,81.27,70,11,8.99,KI,few clouds
278,Kidal,18.4411,1.4078,87.8,29,10,9.8,ML,clear sky
279,Panjab,34.388,67.0233,37.11,18,0,3.94,AF,clear sky
280,Lamu,-2.2717,40.902,79.02,86,10,14.25,KE,clear sky
281,Kaitangata,-46.2817,169.8464,42.94,95,100,10.58,NZ,overcast clouds
282,Mount Gambier,-37.8333,140.7667,39.11,100,39,4.61,AU,scattered clouds
283,Bafq,31.6128,55.4107,78.19,16,0,4.94,IR,clear sky
284,Axim,4.8699,-2.2405,78.28,84,100,8.57,GH,light rain
285,Pacific Grove,36.6177,-121.9166,61.57,72,1,3.0,US,clear sky
286,Makat,47.6469,53.3463,57.97,26,100,9.69,KZ,overcast clouds
287,Mareeba,-17.0,145.4333,70.45,96,7,2.19,AU,clear sky
288,Gat,31.61,34.7642,72.28,100,1,4.61,IL,clear sky
289,Chake Chake,-5.2459,39.7666,76.84,85,7,10.02,TZ,clear sky
290,Awjilah,29.1081,21.2869,74.01,32,8,10.22,LY,clear sky
291,Tiksi,71.6872,128.8694,16.54,91,100,11.65,RU,light snow
292,Namibe,-15.1961,12.1522,64.62,82,56,8.3,AO,broken clouds
293,Teknaf,20.8624,92.3058,77.79,91,100,8.41,BD,overcast clouds
294,Pemangkat,1.1667,108.9667,80.4,79,94,4.43,ID,overcast clouds
295,Zaraza,9.3503,-65.3245,91.81,47,99,1.83,VE,overcast clouds
296,Saint Anthony,45.0205,-93.218,78.73,37,1,1.01,US,clear sky
297,Ko Samui,9.5357,99.9357,81.43,78,95,7.2,TH,overcast clouds
298,Okato,-39.2,173.8833,54.43,86,69,6.87,NZ,broken clouds
299,Ballangen,68.3428,16.8315,33.4,93,75,3.44,NO,light snow
300,Dingle,10.9995,122.6711,76.95,94,66,6.51,PH,moderate rain
301,Camopi,3.1655,-52.3158,79.2,79,100,4.18,GF,overcast clouds
302,Alugan,12.2188,125.4808,80.94,84,24,5.08,PH,few clouds
303,Tokur,53.1333,132.9,1.36,96,31,2.93,RU,scattered clouds
304,Tromso,69.6496,18.957,30.38,86,75,2.3,NO,broken clouds
305,Alexander City,32.944,-85.9539,73.42,40,1,4.61,US,clear sky
306,Port Lincoln,-34.7333,135.8667,56.86,81,0,16.26,AU,clear sky
307,Krasnyy Klyuch,55.3863,56.6529,49.98,47,100,9.78,RU,light rain
308,Spearfish,44.4908,-103.8594,76.87,23,4,5.84,US,clear sky
309,Zhangye,38.9342,100.4517,47.48,26,99,1.79,CN,overcast clouds
310,Hami,42.8,93.45,53.8,25,83,2.21,CN,broken clouds
311,Bogorodskoye,56.55,37.8833,38.1,82,100,11.36,RU,overcast clouds
312,Bloemhof,-27.6469,25.607,57.45,9,0,9.93,ZA,clear sky
313,Chicama,-7.8447,-79.1469,61.34,60,99,10.42,PE,overcast clouds
314,Pietarsaari,63.65,22.6833,39.0,60,39,1.01,FI,scattered clouds
315,Lasa,46.6166,10.7002,45.63,62,100,2.55,IT,overcast clouds
316,Mount Darwin,-16.7725,31.5838,72.16,66,98,11.34,ZW,overcast clouds
317,Puerto Escondido,15.85,-97.0667,86.23,63,33,6.53,MX,scattered clouds
318,Volot,57.9278,30.7025,39.38,83,95,8.95,RU,overcast clouds
319,Leningradskiy,69.3833,178.4167,4.73,93,100,3.11,RU,overcast clouds
320,Bol,13.4586,14.7147,84.22,59,23,5.3,TD,few clouds
321,Porto Novo,6.4965,2.6036,78.62,92,100,5.08,BJ,overcast clouds
322,Flinders,-34.5833,150.8552,62.38,79,100,1.01,AU,light rain
323,Manono,-7.3,27.4167,74.71,77,100,3.4,CD,overcast clouds
324,Nagato,34.3833,131.2,60.71,68,100,2.42,JP,overcast clouds
325,Mansa,29.9833,75.3833,70.25,83,6,4.97,IN,clear sky
326,Sechura,-5.5569,-80.8222,77.5,57,39,14.56,PE,scattered clouds
327,Makasar,-5.14,119.4221,77.05,94,20,3.44,ID,few clouds
328,Kassala,15.451,36.4,88.3,20,0,4.03,SD,clear sky
329,Mwinilunga,-11.7358,24.4293,70.39,68,99,2.75,ZM,light rain
330,Puerto Leguizamo,-0.1934,-74.7819,94.8,40,55,2.68,CO,broken clouds
331,San Patricio,28.017,-97.5169,83.01,47,0,9.78,US,clear sky
332,Magadan,59.5667,150.8,11.3,59,2,7.34,RU,clear sky
333,Cabedelo,-6.9811,-34.8339,84.87,66,100,12.39,BR,overcast clouds
334,Carutapera,-1.195,-46.02,86.2,59,81,9.28,BR,broken clouds
335,Camacha,33.0833,-16.3333,70.56,88,20,6.91,PT,few clouds
336,Bangangte,5.1409,10.5198,62.31,96,92,2.26,CM,moderate rain
